web-scraper-order,web-scraper-start-url,Links,Links-href,Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Pages
"1693461789-11","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-09TolgayErdincFridhemsgatan 3, 4trLägenhetKungsholmen/ Nedre Kungsholmen, Stockholms kommun80 m²3 rum4 499 kr/månBalkongHissSlutpris 8 400 000 kr+5 %105 000 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-nedre-kungsholmen-stockholms-kommun-fridhemsgatan-3,-4tr-2272589276848499544","Slutpris
  Fridhemsgatan 3, 4tr","9 augusti 2022","8 400 000 kr","7 995 000 kr","Lägenhet","Bostadsrätt","3 rum","80 m²","Ja","4 av 7, hiss finns","1939","4 499 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461797-12","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-10Gambrinusgatan 3, 5trLägenhetKungsholmen, Stockholms kommun87 m²4 rum3 394 kr/månBalkongHissSlutpris 10 750 000 kr+34 %123 563 kr/m²","https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-gambrinusgatan-3,-5tr-357702180628548174","Slutpris
  Gambrinusgatan 3, 5tr","10 augusti 2022","10 750 000 kr","7 995 000 kr","Lägenhet","Bostadsrätt","4 rum","87 m²","Ja","5 av 5, hiss finns","1931","3 394 kr/mån","10 800 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461823-13","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-10Wennerbergsgatan 2, 5 trLägenhetKungsholmen Marieberg, Stockholms kommun61 m²3 rum3 821 kr/månBalkongHissSlutpris 4 600 000 kr+2 %75 410 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-marieberg-stockholms-kommun-wennerbergsgatan-2,-5-tr-3637890896877031256","Slutpris
  Wennerbergsgatan 2, 5 tr","10 augusti 2022","4 600 000 kr","4 495 000 kr","Lägenhet","Bostadsrätt","3 rum","61 m²","Ja","5 av 7, hiss finns","1944","3 821 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461831-14","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-10Bergsgatan 13, 2trLägenhetKungsholmen, Stockholms kommun80 m²3 rum2 706 kr/månBalkongHissSlutpris 9 800 000 kr+15 %122 500 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-bergsgatan-13,-2tr-4791143246887771025","Slutpris
  Bergsgatan 13, 2tr","10 augusti 2022","9 800 000 kr","8 495 000 kr","Lägenhet","Bostadsrätt","3 rum","80 m²","Ja","2 av 5, hiss finns","1902","2 706 kr/mån","10 315 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461839-15","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-10Dannemoragatan 8A, 0.5 trLägenhetVasastan, Stockholms kommun75 m²3 rum3 883 kr/månHissSlutpris 7 460 000 kr+2 %99 467 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-dannemoragatan-8a,-0,5-tr-1515049295309220147","Slutpris
  Dannemoragatan 8A, 0.5 tr","10 augusti 2022","7 460 000 kr","7 295 000 kr","Lägenhet","Bostadsrätt","3 rum","75 m²","","","1920","3 883 kr/mån","7 344 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461865-16","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-11Norrbackagatan 17, 3trLägenhetVasastan Birkastan, Stockholms kommun79 m²3 rum3 260 kr/månBalkongHissSlutpris 9 600 000 kr+7 %121 519 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-vasastan-birkastan-stockholms-kommun-norrbackagatan-17,-3tr-5278148157623820851","Slutpris
  Norrbackagatan 17, 3tr","11 augusti 2022","9 600 000 kr","8 995 000 kr","Lägenhet","Bostadsrätt","3 rum","79 m²","Ja","3 av 5, hiss finns","1909","3 260 kr/mån","7 440 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461891-17","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Såld 2022-08-11Gumshornsgatan 5LägenhetÖstermalm, Stockholms kommun70 m²3 rum3 902 kr/månBalkongHissSlutpris 8 530 000 kr-19 %121 857 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-gumshornsgatan-5-3501508418011303891","Slutpris
  Gumshornsgatan 5","11 augusti 2022","8 530 000 kr","10 495 000 kr","Lägenhet","Bostadsrätt","3 rum","70 m²","Ja","2 av 4, hiss finns","1930","3 902 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461899-18","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-12AnitaEkOxenstiernsgatan 33LägenhetÖstermalm, Stockholms kommun84 m²3 rum989 kr/månHissSlutpris 8 500 000 kr±0 %101 190 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-ostermalm-stockholms-kommun-oxenstiernsgatan-33-4727827623933158182","Slutpris
  Oxenstiernsgatan 33","12 augusti 2022","8 500 000 kr","8 500 000 kr","Lägenhet","Bostadsrätt","3 rum","84 m²","","1 av 6, hiss finns","1955","989 kr/mån","5 800 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461925-19","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-12Arbetargatan 33FLägenhetKungsholmen, Stockholms kommun88 m²4 rum4 177 kr/månBalkongHissSlutpris 9 000 000 kr+6 %102 273 kr/m²","https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-arbetargatan-33f-7976820020954175193","Slutpris
  Arbetargatan 33F","12 augusti 2022","9 000 000 kr","8 490 000 kr","Lägenhet","Bostadsrätt","4 rum","88 m²","Ja","","1910","4 177 kr/mån","11 100 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461952-20","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-13Drottningholmsvägen 31, vån 3LägenhetKungsholmen, Stockholms kommun59 m²3 rum2 796 kr/månBalkongHissSlutpris 5 100 000 kr+2 %86 441 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-drottningholmsvagen-31,-van-3-6837098331228811493","Slutpris
  Drottningholmsvägen 31, vån 3","13 augusti 2022","5 100 000 kr","4 995 000 kr","Lägenhet","Bostadsrätt","3 rum","59 m²","Ja","3, hiss finns","1938","2 796 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693461979-21","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-14Gamla Brogatan 25LägenhetNorrmalm/City, Stockholms kommun114 m²3.5 rum6 768 kr/månSlutpris 11 500 000 kr-4 %100 877 kr/m²","https://www.hemnet.se/salda/lagenhet-3,5rum-norrmalm-city-stockholms-kommun-gamla-brogatan-25-4481196273714430853","Slutpris
  Gamla Brogatan 25","14 augusti 2022","11 500 000 kr","11 950 000 kr","Lägenhet","Bostadsrätt","3,5 rum","114 m²","","3 av 4","1751","6 768 kr/mån","7 600 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693462005-22","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-15VeronicaAnderssonRådmansgatan 39BLägenhetVasastan-Östermalm, Stockholms kommun117 m²4 rum4 654 kr/månBalkongHissSlutpris 14 000 000 kr-3 %119 658 kr/m²","https://www.hemnet.se/salda/lagenhet-4rum-vasastan-ostermalm-stockholms-kommun-radmansgatan-39b-2279217349115428158","Slutpris
  Rådmansgatan 39B","15 augusti 2022","14 000 000 kr","14 500 000 kr","Lägenhet","Bostadsrätt","4 rum","117 m²","Ja","2 av 5, hiss finns","1901","4 654 kr/mån","10 000 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693462032-23","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-16Scheelegatan 38 A, 8 trLägenhetKungsholmen, Stockholms kommun77 m²3 rum3 703 kr/månBalkongHissSlutpris 6 300 000 kr-3 %81 818 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-scheelegatan-38-a,-8-tr-5744828827317427928","Slutpris
  Scheelegatan 38 A, 8 tr","16 augusti 2022","6 300 000 kr","6 500 000 kr","Lägenhet","Bostadsrätt","3 rum","77 m²","Ja","8 av 10, hiss finns","","3 703 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693462040-24","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-16TolgayErdincIndustrigatan 14, 4tr av 5.LägenhetKungsholmen, Stockholms kommun74 m²3 rum4 028 kr/månBalkongHissSlutpris 7 100 000 kr+10 %95 946 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-industrigatan-14,-4tr-av-5,-5961910759109897040","Slutpris
  Industrigatan 14, 4tr av 5.","16 augusti 2022","7 100 000 kr","6 450 000 kr","Lägenhet","Bostadsrätt","3 rum","74 m²","Ja","4 av 5, hiss finns","1939","4 028 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693462067-25","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-16Kronobergsgatan 18, VindsvåningLägenhetKungsholmen, Stockholms kommun84+13 m²4 rum3 826 kr/månBalkongHissSlutpris 12 500 000 kr+9 %148 810 kr/m²","https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-kronobergsgatan-18,-vindsvaning-9126809072462217533","Slutpris
  Kronobergsgatan 18, Vindsvåning","16 augusti 2022","12 500 000 kr","11 495 000 kr","Lägenhet","Bostadsrätt","4 rum","84 m²","Ja","5 av 5, hiss finns","1929","3 826 kr/mån","8 400 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693462075-26","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-17SannaRihmFridhemsgatan 10ALägenhetKungsholmen - Norr Mälarstrand, Stockholms kommun76 m²3 rum4 141 kr/månHissSlutpris 6 475 000 kr+8 %85 197 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-norr-malarstrand-stockholms-kommun-fridhemsgatan-10a-2112603534779821240","Slutpris
  Fridhemsgatan 10A","17 augusti 2022","6 475 000 kr","5 995 000 kr","Lägenhet","Bostadsrätt","3 rum","76 m²","Nej","1,5, hiss finns","1927","4 141 kr/mån","5 400 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693462083-27","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-17Kungsgatan 75, 1 trLägenhetKungsholmen, Stockholms kommun92 m²4 rum4 065 kr/månUteplatsHissSlutpris 10 200 000 kr+3 %110 870 kr/m²","https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-kungsgatan-75,-1-tr-2596280858668290467","Slutpris
  Kungsgatan 75, 1 tr","17 augusti 2022","10 200 000 kr","9 950 000 kr","Lägenhet","Bostadsrätt","4 rum","92 m²","Nej","1 av 5, hiss finns","1909","4 065 kr/mån","","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
"1693462091-28","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968","Maps Data: Google © 2023Såld 2022-08-17Norr mälarstrand 86LägenhetKungsholmen - Norr Mälarstrand, Stockholms kommun149 m²4 rum5 624 kr/månBalkongHissSlutpris 14 900 000 kr±0 %100 000 kr/m²","https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-norr-malarstrand-stockholms-kommun-norr-malarstrand-86-2714095256641111874","Slutpris
  Norr mälarstrand 86","17 augusti 2022","14 900 000 kr","14 900 000 kr","Lägenhet","Bostadsrätt","4 rum","149 m²","Ja","1 av 5, hiss finns","1927","5 624 kr/mån","15 120 kr/år","https://www.hemnet.se/salda/bostader?sold_age=12m&rooms_max=15&rooms_min=3&location_ids%5B%5D=925970&location_ids%5B%5D=925969&location_ids%5B%5D=473448&location_ids%5B%5D=925968&page=30"
